ba'a barna  mark
ba'e balre  blade
ba'i banli  great
ba'o banro  grow
ba'u bacru  utter
bab  zbabu  soap
bac  bancu  beyond
bad  bandu  defend
baf  bakfu  bundle
bag  bargu  arch
bai  bapli  force
baj  bajra  run
bak  bakni  bovine
bal  banli  great
bam  jbama  bomb
ban  bangu  language
bap  bapli  force
bar  bartu  out
bas  basti  replace
bat  batci  bite
bau  bangu  language
bav  balvi  future
bax  banxa  bank
baz  banzu  suffice
be'a bersa  son
be'e bende  crew
be'i benji  transfer
be'o bemro  North American
be'u betfu  abdomen
beb  bebna  foolish
bed  bende  crew
bef  betfu  abdomen
beg  bengo  Bengali
bei  bevri  carry
bej  benji  transfer
bem  bemro  North American
ben  besna  brain
ber  berti  north
bes  bersa  son
bet  betri  tragedy
bev  bevri  carry
bi'a bilma  ill
bi'e brife  breeze
bi'i jbini  between
bi'o binxo  become
bi'u bitmu  wall
bic  bifce  bee
bid  bindo  Indonesian
bif  brife  breeze
big  bilga  obliged
bij  briju  office
bik  bikla  whip
bil  bilni  military
bim  bitmu  wall
bin  jbini  between
bir  birka  arm
bis  bisli  ice
bit  birti  certain
biv  bi     8
bix  binxo  become
biz  bi'i   unordered interval
bla  blanu  blue
ble  ruble  weak
bli  bliku  block
blo  bloti  boat
blu  ciblu  blood
bo'a boxna  wave
bo'e brode  predicate var 2
bo'i botpi  bottle
bo'o boxfo  sheet
bo'u bongu  bone
bof  boxfo  sheet
bog  bongu  bone
boi  bolci  ball
bol  bolci  ball
bon  boxna  wave
bor  bo     short scope link
bot  botpi  bottle
bra  barda  big
bre  bredi  ready
bri  bridi  predicate
bro  xebro  Hebrew
bru  burcu  brush
bu'a bruna  brother
bu'e bunre  brown
bu'i bu     word to lerfu
bu'o budjo  Buddhist
bu'u bukpu  cloth
bud  bunda  pound
buj  budjo  Buddhist
buk  bukpu  cloth
bul  bu'a   some selbri 1
bum  bumru  fog
bun  bruna  brother
bur  bunre  brown
bus  bu     word to lerfu
ca'a cabra  apparatus
ca'e catke  shove
ca'i catni  authority
ca'o canko  window
ca'u canlu  space
cab  cabna  now
cac  tcaci  custom
cad  cando  idle
caf  cafne  often
cag  cange  farm
cai  carmi  intense
caj  canja  exchange
cak  calku  shell
cal  canlu  space
cam  carmi  intense
can  canre  sand
cap  ckape  peril
car  carna  turn
cas  ckasu  ridicule
cat  cartu  chart
cau  claxu  without
cav  carvi  rain
cax  caxno  shallow
caz  ca'a   actually is
ce'a cecla  launcher
ce'i cteki  tax
ce'o ce'o   in a sequence with
ce'u cecmu  community
cec  ce     in a set with
ced  cerda  heir
cei  cevni  god
cek  creka  shirt
cel  cecla  launcher
cem  cecmu  community
cen  centi  .01
cer  cerni  morning
ces  censa  holy
cev  cevni  god
cez  ce'i   percent
cfa  cfari  initiate
cfi  cfila  flaw
cfu  ricfu  rich
ci'a ciska  write
ci'e ciste  system
ci'i cinri  interesting
ci'o citno  young
ci'u ckilu  scale
cib  ci     3
cic  cilce  wild
cid  cidni  knee
